post_id,shares_count,comments,likes,date
104958196201736_1923821067648764,11,11,0,2021-01-24 00:00:00
104958196201736_1923932760970928,8,8,200,2021-01-24 00:00:00
104958196201736_1923785630985641,0,0,4,2021-01-24 00:00:00
104958196201736_1923875540976650,2,3,2,2021-01-24 00:00:00
